test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_min_cost_nodes,multi_func_min_cost_avg_modules,multi_func_min_cost_chain_count,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_profit_nodes,multi_func_profit_avg_modules,multi_func_profit_chain_count,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_worst_profit_nodes,multi_func_worst_profit_avg_modules,multi_func_worst_profit_chain_count,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,multi_func_max_users_nodes,multi_func_max_users_avg_modules,multi_func_max_users_chain_count,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users,single_func_nodes,single_func_avg_modules,single_func_chain_count
3,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.50186080001,16482.06873600001,0.43312480000000003,-10082.501860800003,64,20,8.8,44,16482.50186080001,16482.06873600001,0.43312480000000003,-10082.501860800003,64,20,8.8,44,16276.722718687999,16273.59022,3.132498688,-9976.722718687999,63,20,1.8,9,16178.072603104,16175.482603999999,2.5899991040000003,-9878.072603104,63,20,2.0,10,7850.344159232,7848.604159999999,1.739999232,-4650.344159232,32,16,1.0,4
2,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.487438784,16482.068063999996,0.419374784,-10082.487438784001,64,20,8.8,44,16482.487438784,16482.068063999996,0.419374784,-10082.487438784001,64,20,8.8,44,15474.092219791999,15471.560346,2.531873792,-9474.092219792,60,20,2.4,12,15434.187922384,15432.317298,1.8706243839999999,-9434.187922384,60,20,2.2,11,5828.773355424,5827.588356,1.184999424,-3428.7733554240003,24,16,1.0,4
4,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.593688768,16482.068063999996,0.525624768,-10082.593688768002,64,20,9.2,46,16482.593688768,16482.068063999996,0.525624768,-10082.593688768002,64,20,9.2,46,15742.145920187999,15738.9034215,3.2424986879999995,-9642.145920187999,61,20,2.6,13,15454.843184015997,15451.938809999996,2.9043740160000002,-9454.843184016001,60,20,2.2,11,7668.88613028,7667.104881,1.78124928,-4668.88613028,30,20,1.0,5
0,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.428110784003,16482.06873600001,0.359374784,-10082.428110783998,64,20,8.8,44,16482.428110784003,16482.06873600001,0.359374784,-10082.428110783998,64,20,8.8,44,15858.556223840003,15856.633100000001,1.9231238400000001,-9758.556223840002,61,20,3.6,18,16255.194869280002,16253.968619999998,1.2262492800000002,-9955.194869280002,63,20,3.2,16,3807.203023616,3806.573024,0.629999616,-2207.203023616,16,16,1.0,4
8,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.553641727995,16482.067391999986,0.48624972800000005,-10082.553641727998,64,20,9.8,49,16482.553641727995,16482.067391999986,0.48624972800000005,-10082.553641727998,64,20,9.8,49,15780.707039895999,15778.145790999999,2.561248896,-9680.707039895999,61,20,2.8,14,15434.141667424,15432.316668,1.8249994239999998,-9434.141667424,60,20,2.2,11,5770.028591423999,5768.723591999999,1.304999424,-3370.0285914239994,24,16,1.0,4
6,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.859360704006,16482.06873600001,0.7906247040000002,-10082.859360704,64,20,8.8,44,16482.859360704006,16482.06873600001,0.7906247040000002,-10082.859360704,64,20,8.8,44,16059.164664736,16055.300916,3.8637487359999994,-9859.164664736,62,20,3.4,17,15968.831539264,15967.00404,1.8274992639999998,-9768.831539264,62,20,3.4,17,5034.304923520001,5032.917424,1.38749952,-3034.3049235200006,20,20,1.0,5
5,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.692438719998,16482.068063999996,0.62437472,-10082.69243872,64,20,9.2,46,16482.692438719998,16482.068063999996,0.62437472,-10082.69243872,64,20,9.2,46,15465.107080752001,15461.749581999999,3.3574987519999997,-9465.107080752001,60,20,2.8,14,15722.846856347998,15719.281857499995,3.5649988479999997,-9622.846856347998,61,20,3.0,15,6341.809661899999,6340.200287499998,1.6093743999999999,-3841.8096618999994,25,20,1.0,5
7,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.623692704,16482.068067999993,0.5556247040000001,-10082.623692703999,64,20,9.4,47,16482.623692704,16482.068067999993,0.5556247040000001,-10082.623692703999,64,20,9.4,47,15790.686559196001,15787.957185499998,2.729373696,-9690.686559196001,61,20,3.0,15,15414.765769104,15412.695769999998,2.069999104,-9414.765769104,60,20,2.6,13,4759.203589519999,4758.21609,0.9874995200000001,-2759.2035895199992,20,16,1.0,4
1,100.0,13000000000.0,4,4.7,5.0,0.0,10.5,0.016,458.2000000000001,80.0,16482.483688767996,16482.068063999996,0.41562476800000003,-10082.483688768,64,20,9.6,48,16482.483688767996,16482.068063999996,0.41562476800000003,-10082.483688768,64,20,9.6,48,15483.861729680004,15481.371106,2.4906236799999997,-9483.861729680004,60,20,2.8,14,16196.883447731998,16195.103448499998,1.7799992319999993,-9896.883447731998,63,20,3.4,17,4808.15734952,4807.269849999999,0.88749952,-2808.15734952,20,16,1.0,4
